index,regex,R,C-RASP,R_infinity
104,(bcb+c+c+c)(bc+c+b)(b+a)*(a)*bba,False,False,False
105,a(ba+c+c)*c*c*c*ca,False,False,False
106,a(ac+b+a)*(a+c)*a*a+b*,False,False,False
107,(aa+cc+a)*b*a*+(ba+a)b*(a)aa,False,False,True
108,a*a*(a)(a)*b*+(cb+a)*c,False,True,True
109,(bba+bc+c+c)*cc(c)a*+(ca)*,False,False,False
110,(a)*+(ab+b+c)*c*cb*cb,False,False,False
111,(b*cb)(ba)*+(bc+c+c)cc*c*a,False,True,True
112,(c*bb+bb)*(cb)*c+(ac)b*(a)b*b+(c+a)(a)*+(a)c*cc+aca+cb+c+c,False,False,False
113,c(a+a+b)*,True,True,True
114,a*(aa+b)(b+b)*+(bc)c*a*cc,True,True,True
115,bbb*c*+(ca+a+a)*(a),False,False,False
116,(c*ac)*(bc+c+b)*(c+c)(b)*cbb+b,False,False,False
117,b(aa)(b+a)(a)b*aa,True,True,True
118,(a*ac+ab),True,True,True
119,(aba+ba+a+b)*+(cb)c(c)aa+(a+a)a+(b)*+abc+ba+a+c,True,True,True
120,c*(cb+b+a)a*(c)*aca,True,True,True
121,(bab+ac+a)+cc+(a+a)*ac*ba+(a)+c*+bc+c,True,True,True
122,(cbc+bc+b+a)(cc+c+b)*(b+c)+a*+b(a)b*b,True,True,True
123,(b*ac+bc+b+c)*(ac+c+a)(b+c)*(a)cba,False,False,False
124,a*a(a)*+(ac+b+a)(b)bcab+(a+c)*bbc+(c)caa+cbb,True,True,True
125,c(ba)*(c+c)+(bb+c+a)*(a+b)*(c)*b*ac+b*bbbb+(a)c+bba+ba,False,False,False
126,(abb+b)(ba+c+c)(c+a)+(b)(a+b)*+(c)b*c*+(a)*a*a,True,True,True
127,a*(ba+b)b(b)*+b(c)*(a)ba,True,True,True
128,ca*b(c)*baa+(c)*(b+c)(a)b+(c+b)(c)cc+(c)*b*cc,True,True,True
129,(acc+cb+b)a,True,True,True
130,c(aa)(a+a)*(c)*,True,True,True
131,a*+(ac)(c+c)*(b)*ab,True,True,True
132,a*(ab+b)(c+c)*(c)*ccc,True,True,True
133,(ca+ac)(aa+b+c)*,False,False,True
134,(bc)*+(cb+b+c)*(c+a)*bac+(a)+(c)+a*b+cc+b+b,False,False,False
135,(b*+aa+b+b)(c+b+a)(a)(a)b*b,True,True,True
136,(c*ab)+a*(a+c)*(c)cca+(a+b)*(b)+(b)c*b+c*bb+cb,False,False,False
137,(cc)(ac+a)(a+c)*+(ac)*(c)(c)*b*ac,False,True,True
138,(b*ba)*b*(c)*bba+c*(a+b)(a)aa+c(c)bc+a*bbc,False,False,False
139,(c)*(b+a+a)*(a)*(c)+a*(c+a)*(b)b*ab,True,True,True
140,(bbc+bc+c+b)*(bc)(b)*bcb+a*+(a+c)*+(c)*b*cb+acb+bb+a+a,False,False,False
141,(c)(ab)*,False,True,True
142,c+(ab+c)*(c+c)(b)bcc+(b)ab,False,False,False
143,b*(bc+b+b)*(c+c)c+(c)*(a+a)(a)a*cc+(b+b)*(b)c*ba+(b)*acc+a*bb+b,False,False,False
144,b,True,True,True
145,c+c*(b+a)*a*c*bb,False,False,False
146,(a*ab+aa+a+c)*(cc+c)(a)aacb+(cb+a+c)(a+b)b*aab+(a)+c*a*aa+a*cb+cc+a+a,False,False,False
147,(caa+ac)+(bc+c+b)(b)(b),True,True,True
148,(b+ca+b+b)(bb+b+a)*(a)*(b)a*,True,True,True
149,a*+(ac)c*(c)*bba+(a+a)+(b)ccc+a*b+ca+b+c,True,True,True
150,(cac+aa)*(cc+a+a)*(a+a)(c)*ccb+(a+a+c)cc*ac+a*(a)baa,False,False,False
151,(a)*(bc+c+c)*+(aa+b)*(a+a)bc+(a)*,False,False,False
152,(aca+bb+a+a)a(b+c)*cacb+c*(a)*(c)*b*cc,False,False,False
153,a(ca+a)*(c+b)(c)bba,False,False,False
154,(a*+ac)*(cb)(b+a)c*abc+(cb)*+b*b*ac+a*baa+a*ca+ba,False,False,False
155,(baa+c)(b+b)b(a)a*ac,True,True,True
156,b*(ac+b)(b)(b)*a*bb+(bc+a)*(b+b)(a)*ca+(b)*(c)+(a)ac+ac+aa+a+a,False,False,False
157,(c*bb)*(cb+a+b)*(c+b)*acbc,False,False,False
158,(abb)*(ca+c+a)(a+b)*(a)*+(bb)*(c+a)*(a)b*,False,False,False
159,(c+b+c+a)(ac+a)(a+c)*bca,True,True,True
160,c*c*(c)(a)bb+b*,True,True,True
161,(ac+bb)*a*(c+b)(c)*bba+c*(a+b)*(a)*+(b)*(c)bba+(a)*a*,False,False,False
162,(c*a+bc)a*(b)*b*ca+(b)*(a+b)(c)cca+(c+b)*(a)*b*cc+(c)*c*ab,False,False,False
163,c(ca+c+b)b(b)bcb,True,True,True
164,(abb+b+b+c)(ca+b+b)+c*(c+a)(b)b*a+(b)*(a)a*bb,True,True,True
165,(cab+bc)a*(a)*(a)*+(bc)*(c+a)*(a)*b+(a+b)*(a)ccc+(b)*+bbb+cc+b+a,False,False,False
166,(ccb+cb)*(c+c+b)*cb*baa+(b+c)(b+c)*+(c+a)*+(a)b*a,False,False,False
167,(b*cc+c)*+c*(c+b)+(b)*(b)*bb,False,False,False
168,(b*ca+aa+a+a)*c*(a+a)*+a(c+c)bbcb,False,False,False
169,bb(b+c)*(a)b*+(c+c+a)*(a+b)+(b+c)*(b)*aab+(b)a+b*a,False,False,False
170,(a+bb)*a*,False,False,True
171,(b*ca+ab+b)(ac+a+a)*(a+b)*ccab+c(c+a)*c+(c)*+a*bcb+bb,False,False,False
172,(ac+aa)*(c+c+b)+(bb)*(a+c)*(a)*a+b*(b)c*+(a)a*bb,False,False,False
173,(b*+ac+c+b)*(ca+b),False,False,False
174,(a*cc+bb+b)(ac)*b*+(c+b+b)*(a)(b)a*ba+(a+c)*cc,False,False,False
175,c*(c+c+c)(b+a)(a)aa,True,True,True
176,(c*ba+ac),True,True,True
177,(cb+ac+a+b)c(b+b)*c+(ca)(b+a)*+(a+c)*cb*cb+(b)c*ca+a*c+aa+c+b,False,False,False
178,(a*cc+a+a+c)ba*(b)b*bc,True,True,True
179,(b*bb+cb+a+b),True,True,True
180,(bcb+cb+a+c)*,False,False,False
181,b*bcc*aca+b(b+c)*c+(c+c)*(c)*acc+(a)abc+aaa+ab,False,False,False
182,(abb+ba)(cc+c)*c(b),True,True,True
183,(b*b+ca+b+c)(a+a+c)*(a+c)+(aa+c)a(a),True,True,True
184,(b*bc)+(aa+c)*,False,False,True
185,(b*b+ac+b+b),True,True,True
186,(c*ab+bc+c+b)*(bb+b)c+(bb)*(a+b)(b)*a*+(a+a)*,False,False,False
187,c+(ac+c)+b(b)*b*b,True,True,True
188,(bbc+cb+b+b)c*aa*c+(a+c)(c+b)*(c)cbc+(a+c)*(a)*,False,False,False
189,(a*+ba+a+a)*(bb+a)+(bc)*(a),False,False,False
190,(a+ab+c+c)*(ac+c)*b*ac*b+(ba+c)+(a+b)*+(c)+c*+ac+b+c,False,False,False
191,(c*bc+ac+c)(c+a+b)(a+a)*,True,True,True
192,(acc+bc+b+a)(cb+b+c)*(b+c)*(b)b*a+c,False,False,False
193,(c+ca+b+a)(bb+a+a)(a+c)(b)*a*ab+c*(b+c)(a)+(a+b)*aacc+(a)ca+bcc,False,False,False
194,c,True,True,True
195,a*(cb)(b+c)*(a)b*ca,True,True,True
196,a*(cb)(a+b)*+(b+c+a)+(a+c),True,True,True
197,(bbc+ba)(bc)*(b)*(a)*aca+(ca+c+a)*(a)*c*,False,True,True
198,ac*(a+b)*,True,True,True
199,(cc+aa+a+b)(aa+b+b)*+b*b+(b+b)(c)aca+(a)*acb+cab,False,False,True
200,ba*(a)c*ccb+(ab+a+b)(b+c)c+a*c*c*ac+(b)*a*ba+c*ba+bb+a+c,True,True,True
201,(caa+ba)(b+a+a)*(a+c)*+(aa+b+a)a*(a)b+a*(b)c*ba+b*c*c+bba,True,True,True
202,(c+aa+a+a)(c+b+b)*c(c)*bbc+(ab+a+a)c*bc*cc+aa*bba,False,False,False
203,(c*bb+ab+c+a)(ac+a+a)*b*(c)bc,False,False,False
204,(a*)*(c)*(b+c)*(b)c*b,False,False,False
205,(a*c)*(b+b+c)+c*(c)(c)b*bb,False,False,False
206,(a*cb+ca)+c*(b+c)*+(c+b),True,True,True
207,(a*)*,True,True,True
208,(a+ba+a+c)cc*ab*ab+(ca)(c+a)*+(a+c)(b)*a*,True,True,True
209,a*(cb+c+b)(c+a)*c+(ab+b)*(b+b)*+bbc+(b)bab,False,False,False
210,b*(cb+c+c)b*(c)c*bc,True,True,True
211,b(ac+a+c)*a*(b)*b*ab+b(b+a)*c*cb+(c+a)bcaa+(c)*c*b,False,False,False
212,(a*c+bc+c+a)c(a)c*c*b+(ab+c)b*(a),True,True,True
213,a*(bb)*+b*cb*c*ab,False,False,True
214,(c*cb+b+c+a)*(cb)a*(c)+b(a),False,False,False
215,b+b(a+a)(b)*+(c+a)*(b)*a*a+(a)*aa+cbc,False,False,False
216,(cba+cc+a+b)*(bc+c)(b+a)*c*bb+(ac+a+c)(b)(b)a*a+(c)*(b)a*cc+(c)+cb+cb+c+a,False,False,False
217,(a*a+ca)*(cb+b)b+c*+(a+b)*(b)*a*a+ac*bb+c*c+cb,False,False,False
218,(a*)*(aa)*(c+b)(b)*caa+(cb+b+a)*b,False,False,False
219,b*(b+c)*+b*,True,True,True
220,(b*ab)(ac)*(c)*(a)*+(a+c+c)*(c)*(c)a+(c+c)*(b)*a*cc,False,False,False
221,(b*bb+ba+c)*(ca)a(c)*c+(cc+b+b)*b*(b)*a*aa+a(b)aab,False,False,False
222,(c*ab+ca+b+a)*(ca+c+a)(a)*(b)*b*cc,False,False,False
223,(aaa+c+b+a)*ac*+(cc+c+a)+b*bac+(b)*a*a,False,False,False
224,(a*+ac+b+b)*+b(a+a)*(b)ba+a(b),False,False,False
225,a*a(b+b)(a)*c*ca+b*a*(c)*b*cb+a*(b)a*bb+(a)*+b,True,True,True
226,(b*+bc)*a*(a)*(a)*c+(c)c*(a)aab+(c+a)(c)*bcc,False,False,False
227,(c)*a*(c+c)*(b)a*+(ac+c)c*(c)b*ba+ab*a*ac+c*c*ab,True,True,True
228,(abc+ca+c)*a*c*ac*ba+c(a+a)(b)*,False,False,False
229,(c*a)(cc+c+b)*(b+b)(a)*c*bb+(cb+c+b)(b+c)+a*(a)b*,False,False,False
230,(ccb+aa+c+a)*+(ca+c+b)*+(b+a)*bb*ab+c*a*,False,False,False
231,(cba+ab)b*(c+c)(a)a+a*(c)(a)*b+(b+a)b*a*bb+(a)*c*,True,True,True
232,(b*c+cc)*(ba+a+c)*(a+b)*c*+(ac)*+c*(c)*b*cb+(b)*b+b*+bc,False,False,False
233,(a*cc)*(ca+a+c)b*(a)a*,False,False,False
234,(bbc+c+a+c)+(cc+a)b(b)*bcc+b(c)*c*cb+b*aca+a*bc+aa+b+b,True,True,True
235,(bca)(ca+b+b)*+(ba+b)b(a)*cbb,False,True,True
236,b*c*b,True,True,True
237,(a+ab+c)*(c+b+a)*b*(a)bca+(bb)*+(c)(c)*ca+(b)cbc+b*+a+b+a,False,False,False
238,(ab+cb+b+b)*(ca)a*(b)*abb+(bb+b+a)*(a+b)*(a)cbb+c*(b),False,False,False
239,(c+cb)(bb+c+a)*(b+a)*+(ac+c+c)*+a*(c)b+b*a+cba+bc+a+c,False,False,False
240,a*(cb)*(c+c)*aacb+(b)+(b)c*c*aa,False,True,True
241,bb*(a+c)+(ca)+b+bccb+bcb+aa,True,True,True
242,(cca)*(ca+a+a)+a*a*(a)*bba,False,True,True
243,(b+aa+b+c)*,False,False,True
244,cc(a+c)*+(ac+b)*(c+b)*a*b*ca+(c)*(c)*c*,False,False,False
245,(a*ab)+(aa)(b+c)(a)*b*c,True,True,True
246,c*+(a)*(a)*+(a+b)*(b)c*bb,False,False,False
247,(ccb+ba+c+a)*(bb+c+c)c*ac*bc+(cc)*(b+a)*+(a+a)(c)c,False,False,False
248,(bcc+ca+b+c)c*c*a+(a+b)c(b)c*,True,True,True
249,a(aa+c)*c*bb*a+(ac+a+c)(b)(a)cb,False,False,True
250,(b*c+cb+c+c)*(b+c+b)(a+b)(b)*aba+(bc+b+b)(b+b)*(c)*abb+(a)*(c)*b*bc+(b)*+bcb+cb,False,False,False
251,(b*ba+aa)c*+(cb+b+c)(b+c)(a)*+(b+c)*(b)a*bc+(b)*c*ca+cbc+a+a+b,False,False,False
252,(b+cc)*a*+b(a+a)(b)*+(c)bbc+(a)+b*a+bb,False,False,True
253,a*+(ba)*(c+b)*,False,True,True
254,(c*ac+ac+a+a)(a)*a(c)bca+(ba+b+a)+(a)(c)*c*ba,True,True,True
255,(b*a)*(a+c+b)*+(ac+a+b)*(b+b)(b)*b*+b*+(b)*b*cc,True,True,True
256,(a*cb+ab+a+a)*+(b+c)*(a+a)a*+(c+c)*(c)*,False,False,False
257,(a*a)*(ca)*(c+b)(c)*c*ca+b(c+c)*(a)+a+(c)c*b+bbc,False,True,True
258,(c*cc+c+b)*+b*c+(b+c)*(b)a*bb+(b)*bab+a*bb+ac+c+a,False,False,False
259,(a*bb)(b+c+b)*(b)*,True,True,True
260,b(aa+c)*(b)(b)cca,False,False,True
261,(a*)(ab+b+b)*,False,False,False
262,b(a+b)(a+c)a*baa+aa(c)*a*cc,True,True,True
263,c*(b)*(c+c)*(a)+(c+b+a)*b(a)bca+(b+b)*(c)*+(c)*c+acb,False,False,False
264,(c*bc+ca)*+b*+(c+a)cc*ca+(c)*ccc+cb+bc+c+c,False,False,False
265,(cbc+bc+b+b)*c(a+a)(c)a*cc+(bb+b)*(b+c)*+(a)*(c)c*ca+(b)cbc+c*aa,False,False,False
266,(a*ca+ac+a+c)*(cc+c+b)*(a+a)+(ba)(b+b)(a)*a*cb+(b+c)(a)*,False,False,False
267,a(ab+b+b)*(a+c)(a)bac,False,False,False
268,a*(ac+c+c)(a+a)c*abc+(ba)(a+a)*abcb+(a+a)(c)aba,True,True,True
269,(b*aa+cb+c)b+(b+c+c)*+(b+a)*(a)+(b)c*b,False,False,False
270,c*(aa+c)(a+b)(c)*cbc+b(b+b)*(b)cba+(b+a)aacb+(b)+a*bb+cc,True,True,True
271,c,True,True,True
272,a*(aa)b*baca+(ba+b+a)*(a)(a)*cb+(b+c),False,False,False
273,c*(a+c+a)cc+(ca+a)(b),True,True,True
274,(b*+aa+c+b)*(cc)+(ac)(a+b)(a)*+aa*c+(b)*cac+a*ba,False,False,False
275,(c*+cc+b)*b*a(b)a,True,True,True
276,(c*b+bc+c+a)(ab+c+a)+a+a(b)+(a)ac,True,True,True
277,(a*)b*(b+b)b+(ac+a+b)(b+c)*+(a)*(a)b*c,True,True,True
278,(b+ac+c+c)(cb)*(a+b)*+c*(b)(c)*a*c,False,True,True
279,a(b)*(a+a)(a)*bcc,True,True,True
280,b*+(aa+c)*(a)*(c)*bbb,False,False,True
281,a*(a+b+a)b*,True,True,True
282,(aaa)*(cb)(b+b)bc*c+b*+(c+c)*bcca,False,False,True
283,bc(b+b)aa*a+(b+b+c)(c+b)*(b)*b*cc,False,False,False
284,(ccb)(bc+b)(a+a)*(c)b*+(aa+a+b)(c+a)(b)*a*a+(c+c)*(c)*a*+(b)c*bb+c*cc+bb,True,True,True
285,c*(bb+b+b)*(c+b)*(c)*a*ac+(aa)*(b+b)cccc+bac+(c)c*ac,False,False,True
286,a(cb+b)a*acca+(bb)*+(b+b)*(b)+(b)*a*c+bac,True,True,True
287,(a*+bc+c)*(a+c+b)(a+b)c*a*+(bc+a+c)*(c+c)abba+a*b*+(a)*c*+caa+b,False,False,False
288,(a*+a+c+a)*+(ba+a+c)*,False,False,False
289,(b*)*b+c*(b+a)acbc+(c+c)(c)*cac+(c)c*bb,True,True,True
290,c*(c+c+c)c(b)*+(b+c+c)*(b)*+(c+a)*,True,True,True
291,(a*b)(a+a+a)(c+c)b*+(ac+b+c)(a+c)c*a*cc+(c)*(c)bab,True,True,True
292,(cac)*+(bc+a+a)b(a)*aca,False,True,True
293,c(ba)(b+c)*c*a+(b)*,True,True,True
294,(baa)*(ab+a+c)(b+a)*+c*+(b)*(c)c*+(b)+cbb+bc,False,True,True
295,(cb+c)*b(b+c)(b)*cbc+c*(a)c*b+(c+a)+(c)c*,False,False,False
296,(b*cc)aba*,True,True,True
297,(ac),True,True,True
298,(c*c+ac)*a(b+c)a*+(cb+c)*(a+c)*abcb+a*(c)*+(a)*b*ac,False,False,False
299,c*a*+b(c+a)*,True,True,True
300,a*(c+c)*(c+c)*c*b+b*ccac+c(a)b*ca,True,True,True
301,(b*+aa)*b*(c+c)cb*ab,False,False,True
302,(bb+cc)(ab+b)a(a)*,True,True,True
303,(c+aa+a+c)+(ca+a+c)c(a)*c+a*(c)*a*ab+(c)aac+b*bb+cc,True,True,True
304,(cc)*c(c+b)*,True,True,True
305,(aaa+ab+a+a)b*,True,True,True
306,(b*ac+bc+c+c)b(b+c)(a)*,True,True,True
307,(cc+ba+b)b*(a+c)*abca+c(c+a)+c*(c)*c*+b*b+b*ac+bb,False,False,False
308,(b*ab)*(ba+a+a)*b,False,False,False
309,b*(ba+a+b)*c(b)*cca,True,True,True
310,a*c*+(aa+b)(a)*(c)*aca+(c+b)*(c)c+(b)*c*ba,False,False,False
311,b*(ca+a+c)+a*(c)*(c)aca+(b)*(a)bab+(b)*b*b+a*a+b,True,True,True
312,(cab+cb+a+a)*b*(b)*(b)*c*bb,False,False,False
313,(a*bc)*c+(cc+a+b)*a(b)c*+(b+a)b*aca,False,False,False
314,c(ab+a+a)*(a+a)*b*bc+(ba)(b+c)(c)bc+(c+b)(a)*b*ca+a*+aca+ba+c+a,False,False,False
315,(c*ab+a)*b(c+b)(c)*+(ca+c+b)(b)*ac*,False,False,False
316,b*(cc+a+c)+(c+c+b)(c+a)(b)ab,True,True,True
317,(c)*(cb+a+a)*(c)*(c)c,False,True,True
318,(aac+cc+c+c)*(ac+a+a)a*+(cc)*b*b*a*bb,False,False,False
319,(a*ca+bc+a+c)(bb+a+c)*a*(b)*c*ba,False,False,False
320,(bac+ba+a+a)(ac+a)*(a)*(c)*a*cb+(ba)*c+b*c*b*ba+(a)*b*,False,False,False
321,(bbb+b)*c*+(ac+b+a)*+(c+b)+(b)*bba+c,False,False,False
322,(abb)(b+c+b)(a+b),True,True,True
323,(a*+aa)*b(b+c)*c+(ba+c+c)(b+a)*(c)ccc+b(a)*acc+(b)a*+bbc+ac,False,False,False
324,(bbc+bb+a+c)*(bc+b+c)*+b*ab*a*c,False,False,True
325,(a*cb+ac+b+b)+(bc)*(b)*a*b*cc,False,True,True
326,c*(c)(b+c)(a)bba+c(b+a)+(b)*b*a*+(a)c*,True,True,True
327,(a*ba+cb+a+b)*(c)*(c+b)(c)*cba,False,False,False
328,c(b+b+a)c*(b)*c*+(c)*,True,True,True
329,c*(b+a)*(b+a)*b*,True,True,True
330,(bbb+ba+a)+(a+a+c)*(a)a*+a(c)*aab+b*aca,False,False,False
331,(c*ca)*(cc+a+b)*+(aa)+(b+a)*(b)a+(c)c*bc+caa,False,False,False
