id,regex
171,(a|bc|de)*
172,ab*c|d|e*
173,a|b(c*d)*
174,(abc)*(d|e)
175,a(b|c)d*e*
176,ab(cd|e)*f
177,(a*b|c*d)*
178,abc|d*e|f
179,a(b*c)*|d*
180,(ab|c)*de
181,a*b|cd*e
182,ab(c|d|e)*
183,(a|b)(c|d|e)*
184,abc(de|fg)*
185,a(b|c*)d*e
186,(ab)*(cd|e)
187,a*bc|d(e)*
188,ab|c*de*
189,(a|b|c)d|e*
190,abc*|d(e)*
191,a(b*|c*)(d)
192,(ab|cd|e)*f
193,a*b*c|de
194,ab(c|d)*|e*
195,(abc|d)*ef
196,a(b|c)*(d)*
197,ab*cd|e*
198,(a|b)*c*d*
199,abc(d|e|f)*
200,a(b*c|de)
201,(ab|c|d)e*
202,a*b(c|d|e)*
203,ab|cd*|ef
204,(a|bc)*(d|e)
205,abc*d|ef
206,a(b|c*d)*
207,(ab*|c)*d
208,a*bc*de
209,ab|(cd)*e*
210,(a|b)cd*e*
211,abc(de)*|f
212,a(b|c)(d)*e
213,(ab)*(c|d|e)*
214,a*b*|cd*
215,ab(c*|d)*
216,(abc|de)*f
217,a(bc|d)*e*
218,ab*|c(de)*
219,(a|b)*cd|e
220,abc*|de*f
221,a(b*c)*d*
222,(ab|c)*d|e*
223,a*b(c|d)*e
224,ab|cd(e)*f
225,(a|b|c)*(d|e)
226,abc(d|e)f*
227,a(b|c*)(d*|e)
228,(ab*c)*d
229,a*bc|de|f*
230,ab|(c|d)*e*
231,(a|b)c*d|e*
232,abc*de|f
233,a(b*c|d)*e
234,(ab|cd)*(e|f)
235,a*b|c(d|e)*
236,ab*cd*|e*
237,(a|b|c)*d*e
238,abc(de|f)*
239,a(b|c)d|ef
240,(ab)*(cd)*e
241,a*bc*|de
242,ab|c*d(e)*
243,(a|b|c|d)*e*
244,abc*|d|ef
245,a(b*|c*)d*e
246,(ab|c|d)*ef
247,a*b(c*|d)*
248,ab(cd|ef|g)*
249,(abc|d)*e*f
250,a(b|c*d)e*
251,(ab*|cd|e)*
252,a*bc|d*e*
253,ab|(cd|e|f)*
254,(a|b)c*de
255,abc(d*|e)*
256,a(b|c)*(d|e)*
257,(ab)*(c|de)
258,a*b*cd*e
259,ab(c|d)*ef
260,(abc|de|fg)*
261,a(bc|d)e|f*
262,ab*|c(d|e)*
263,(a|b)*c|de
264,abc*d(e|f)*
265,a(b*|c)(d|e)*
266,(ab|cd)*(ef)*
267,a*bc*|d|e*
268,ab|c*d|ef*
269,(a|b|c)*de*
270,abc(d|e)*|fg
271,a(b|c*)(d|e)*
272,(ab*c|d)*e
273,a*b(cd|e)*
274,ab|(c|d|e|f)*
275,(a|b)cd*|e*
276,abc*de*f
277,a(bc|de|f)*
278,(a|bc|d)*e*
279,ab*c|de*
280,a|b(c*d|e)*
281,(abc)*(de)*
282,a(b|c)d*|ef
283,ab(cd|e)*|f*
284,(a*b|c*d|e)*
285,abc|d*e|fg
286,a(b*c)*|de
287,(ab|c)*d|ef
288,a*b|cd*|e*
289,ab(c|d|e)*f
290,(a|b)(c|d)*e*
291,abc(de|f|g)*
292,a(b|c*)d*|e*
293,(ab)*(cd|ef)
294,a*bc|d(e|f)*
295,ab|c*de|f*
296,(a|b|c)d*|e*
297,abc*|(de)*
298,a(b*|c*)(d|e)
299,(ab|cd|ef)*g
300,a*b*c|d*e*
301,ab(c|d)*|ef
302,(abc|d)*(e|f)
303,a(b|c)*(de)*
304,ab*cd|ef*
305,(a|b)*c*|de
306,abc(d|e|f)*g
307,a(b*c|d)*|e*
308,(ab|c|d)*e|f
309,a*b(c|d|e)*f
310,ab|cd*|(ef)*
311,(a|bc)*(de)*
312,abc*d|e*f*
313,a(b|c*d)*e
314,(ab*|cd)*e
315,a*bc*de*
316,ab|(cd|e)*f
317,(a|b)cd*|ef
318,abc(de)*|fg*
319,a(b|c)(d|e)*
320,(ab)*(c|d)*e*
321,a*b*|cd|e*
322,ab(c*|d|e)*
323,(abc|de)*|fg
324,a(bc|d)*|ef
325,ab*|c(d)*e*
326,(a|b)*cd*|e
327,abc*|de|f*
328,a(b*c)*d|e*
329,(ab|c)*de*
330,a*b(c|d)*|ef
331,ab|cd(ef)*g
332,(a|b|c)*(d)*e
333,abc(d|e)f|g*
334,a(b|c*)(de)*
335,(ab*c)*|de
336,a*bc|def*
337,ab|(c|d)*|ef
338,(a|b)c*d|ef*
339,abc*de|fg
340,a(b*c|d|e)*
341,(ab|cd)*(e)*f
342,a*b|c(de)*
343,ab*cd*|ef
344,(a|b|c)*d|e*
345,abc(de|fg)*
346,a(b|c)d|e*f*
347,(ab)*(cd|e)*
348,a*bc*|d*e*
349,ab|c*d(ef)*
350,(a|b|c|d)*|ef
351,abc*|de(f)*
352,a(b*|c*)de
353,(ab|c|de)*
354,a*b(c*|d|e)*
355,ab(cd|ef)*g
356,(abc|d)*e|fg
357,a(b|c*d)e|f*
358,(ab*|cd|ef)*
359,a*bc|d*|ef
360,ab|(cd|ef)*g
361,(a|b)c*de*
362,abc(d*|e|f)*
363,a(b|c)*(de|f)
364,(ab)*(c|d|ef)
365,a*b*cd|e*f
366,ab(c|d)*|e|f*
367,(abc|de|f)*g
368,a(bc|d)e|fg*
369,ab*|c(de|f)*
370,(a|b)*c|d*e*
371,abc*d(ef)*
372,a(b*|c)(de)*
373,(ab|cd)*e|f*
374,a*bc*|de|f
375,ab|c*d|e*f*
376,(a|b|c)*de|f
377,abc(d|e)*fg
378,a(b|c*)(d)*|e*
379,(ab*c|de)*
380,a*b(cd)*|ef
381,ab|(c|de)*f*
382,(a|b)cd*|e|f*
383,abc*de*|fg
384,a(bc|de)*|f*
385,(a|bc|def)*
386,ab*c|d*|ef
387,a|b(c*d|ef)*
388,(abc)*(de|f)
389,a(b|c)d*|e*f
390,ab(cd|e|f)*
391,(a*b|c*d)*e
392,abc|d*e|f*g
393,a(b*c)*|d|ef
394,(ab|c)*d|e|f*
395,a*b|cd*|ef*
396,ab(c|de)*f*
397,(a|b)(c|d|e)*f
398,abc(de|fg)*h
399,a(b|c*)d*|ef
400,(ab)*(cd|ef)*
401,a*bc|d(ef)*
402,ab|c*de|fg*
403,(a|b|c)d*|ef
404,abc*|(de|f)*
405,a(b*|c*)(de)
406,(ab|cd|e)*|fg
407,a*b*c|de*f
408,ab(c|d)*|e*f*
409,(abc|d)*(ef)*
410,a(b|c)*(d|ef)
411,ab*cd|e*|fg
412,(a|b)*c*|d*e
413,abc(d|ef)*g
414,a(b*c|de)*
415,(ab|c|d)*|e*f
416,a*b(c|de)*f
417,ab|cd*|e(f)*
418,(a|bc)*(d|ef)
419,abc*d|efg
420,a(b|c*d)*|ef
421,(ab*|cd)*|ef
422,a*bc*de|f*
423,ab|(cd)*|efg
424,(a|b)cd*|efg
425,abc(de)*|f*g
426,a(b|c)(d|ef)*
427,(ab)*(c|de)*
428,a*b*|cd*|ef
429,ab(c*|de)*
430,(abc|def)*g
431,a(bc|d)*|e*f
432,ab*|c(d|ef)*
433,(a|b)*cd|efg
434,abc*|de|fg*
435,a(b*c)*d|efg
436,(ab|c)*de|f*
437,a*b(c|d)*|e*f
438,ab|cd(e)*|fg
439,(a|b|c)*(de)*
440,abc(d|e)f|gh*
441,a(b|c*)(d|e|f)*
442,(ab*c)*|d*e
443,a*bc|de*|fg
444,ab|(c|d|ef)*
445,(a|b)c*d|e*f*
446,abc*de|f*g
447,a(b*c|d|ef)*
448,(ab|cd)*(efg)
449,a*b|c(d|e)*f
450,ab*cd*|efg
451,(a|b|c)*d|efg
452,abc(de|f)*g
453,a(b|c)d|ef*g
454,(ab)*(cd)*|ef
455,a*bc*|de*f*
456,ab|c*d(e|f)*
457,(a|b|c|de)*f
458,abc*|de|efg
459,a(b*|c*)d|ef
460,(ab|c|d)*e*f*
461,a*b(c*|de)*
462,ab(cd|ef|gh)*
463,(abc|d)*|e*fg
464,a(b|c*d)e|fg*
465,(ab*|cd)*efg
466,a*bc|d*|e*f*
467,ab|(cd|e)*|fg
468,(a|b)c*de|f*
469,abc(d*|ef)*
470,a(b|c)*(d|e|f)*
471,(ab)*(c|def)
472,a*b*cd|efg*
473,ab(c|d)*|efgh
474,(abc|de)*|f*g
475,a(bc|d)e|f*g*
476,ab*|c(de)*|f*
477,(a|b)*c|d*|ef
478,abc*d(e|fg)*
479,a(b*|c)(d|ef)*
480,(ab|cd)*|e*fg
481,a*bc*|de|fg*
482,ab|c*d|efgh*
483,(a|b|c)*de|fg
484,abc(d|e)*|fgh
485,a(b|c*)(de|f)*
486,(ab*c|d)*|ef
487,a*b(cd|ef)*
488,ab|(c|d)*|e*f*
489,(a|b)cd*|efgh
490,abc*de*|f*g
491,a(bc|de|fg)*
492,(a|bc|d)*|efg
493,ab*c|de*|fg
494,a|b(c*d|e)*f
495,(abc)*(d|ef)*
496,a(b|c)d*|efgh
497,ab(cd|e)*|fgh*
498,(a*b|c*d|ef)*
499,abc|d*e|fgh*
500,a(b*c)*|de|fg
501,(ab|c)*d|efgh
502,a*b|cd*|e*fg
503,ab(c|de)*|f*g
504,(a|b)(c|d)*|efg
505,abc(de|f)*|gh
506,a(b|c*)d*|e*fg
507,(ab)*(cd|e|f)*
508,a*bc|d(e)*|fg
509,ab|c*de|fgh*
510,(a|b|c)d*|e*fg
511,abc*|(de)*|fg
512,a(b*|c*)(d|ef)
513,(ab|cd|efg)*
514,a*b*c|de|f*g
515,ab(c|d)*|efg*h
516,(abc|d)*(e|fg)
517,a(b|c)*(de|fg)
518,ab*cd|efgh*
519,(a|b)*c*|de|fg
520,abc(d|e)*|f*gh
521,a(b*c|de)*|fg
522,(ab|c|d)*|efgh
523,a*b(c|d|ef)*g
524,ab|cd*|e(fg)*
525,(a|bc)*(de|f)*
526,abc*d|e*|fgh
527,a(b|c*d)*|efg
528,(ab*|cd|e)*fg
529,a*bc*de|fgh*
530,ab|(cd|ef)*|gh
531,(a|b)cd*|e*fgh
532,abc(de)*|fg*h
533,a(b|c)(de)*|fg
534,(ab)*(c|d|e)*f*
535,a*b*|cd|efgh*
536,ab(c*|d|ef)*
537,(abc|de)*|fgh*
538,a(bc|d)*|e*fgh
539,ab*|c(d)*|e*fg
540,(a|b)*cd*|efgh
541,abc*|de|f*|gh
542,a(b*c)*d|e*fg
543,(ab|c)*de|fgh*
544,a*b(c|d)*|efgh
545,ab|cd(ef)*|ghi
546,(a|b|c)*(d|efg)
547,abc(d|e)f|gh*i
548,a(b|c*)(d|e)*f*
549,(ab*c)*|de|fg
550,a*bc|def*|gh
551,ab|(c|d|e)*|fgh
552,(a|b)c*d|efgh*
553,abc*de|fg*h
554,a(b*c|d|e)*|fg
555,(ab|cd)*(e|f)*g
556,a*b|c(de)*|fgh
557,ab*cd*|e*|fgh
558,(a|b|c)*d|e*fgh
559,abc(de|fg)*|hi
560,a(b|c)d|efg*h*
561,(ab)*(cd|efg)
562,a*bc*|d*e|fg*
563,ab|c*d(ef)*|gh
564,(a|b|c|d)*|e*fg
565,abc*|de(f)*|gh
566,a(b*|c*)de|fg
567,(ab|c|def)*
568,a*b(c*|d|efg)*
569,ab(cd|ef)*|ghi
570,(abc|d)*e|f*gh
571,a(b|c*d)e|fgh*
572,(ab*|cd)*|e*fg
573,a*bc|d*|efgh*
574,ab|(cd|e)*|f*gh
575,(a|b)c*de|fgh*
576,abc(d*|e|fg)*
577,a(b|c)*(de)*|fg
578,(ab)*(c|d|e|f)*
579,a*b*cd|e*|fgh
580,ab(c|d)*|efg*hi
581,(abc|de|fgh)*
582,a(bc|d)e|fg*h*
583,ab*|c(de|fg)*
584,(a|b)*c|d*|efgh
585,abc*d(ef)*|gh
586,a(b*|c)(de|f)*
587,(ab|cd)*e|fgh*
588,a*bc*|de|f*gh
589,ab|c*d|efg*h*
590,(a|b|c)*de|f*gh
591,abc(d|e)*fg|hi
592,a(b|c*)(d)*|efgh
593,(ab*c|de)*|fg
594,a*b(cd)*|e*fgh
595,ab|(c|de)*|f*gh
596,(a|b)cd*|efg*h
597,abc*de*|fgh*
598,a(bc|de)*|fg*h
599,(a|bc|d)*|e*fgh
600,ab*c|d*|efgh*
601,a|b(c*d|efg)*
602,(abc)*(de|fg)
603,a(b|c)d*|efg*hi
604,ab(cd|e|fg)*
605,(a*b|c*d)*|efg
606,abc|d*e|fg*h*
607,a(b*c)*|d|e*fg
608,(ab|c)*d|efgh*i
609,a*b|cd*|efgh*
610,ab(c|de)*|fg*h
611,(a|b)(c|d|efg)*
612,abc(de|f)*|g*hi
613,a(b|c*)d*|efgh*
614,(ab)*(cd|e|fg)*
615,a*bc|d(ef)*|gh
616,ab|c*de|fgh*i*
617,(a|b|c)d*|e*f*gh
618,abc*|(de|fg)*
619,a(b*|c*)(d|e)*f
620,(ab|cd|efgh)*
621,a*b*c|de|fgh*
622,ab(c|d)*|e*|fghi
623,(abc|d)*(ef|g)*
624,a(b|c)*(d|efgh)
625,ab*cd|efg*h*
626,(a|b)*c*|de|fgh
627,abc(d|ef)*|ghi
628,a(b*c|de)*|f*gh
629,(ab|c|d)*|e*fghi
630,a*b(c|def)*
631,ab|cd*|e(f)*|gh
632,(a|bc)*(d|efg)*
633,abc*d|efgh*i
634,a(b|c*d)*|e*fgh
635,(ab*|cd)*|efgh*
636,a*bc*de|fg*h*
637,ab|(cd)*|efghi
638,(a|b)cd*|efg*hi
639,abc(de)*|fgh*i
640,a(b|c)(d|efg)*
641,(ab)*(c|de|fg)*
642,a*b*|cd*|efgh*
643,ab(c*|de|f)*
644,(abc|def)*|ghi
645,a(bc|d)*|efgh*i
646,ab*|c(d|e)*|fgh
647,(a|b)*cd|efghi
648,abc*|de|fg*h*i
649,a(b*c)*d|efgh*
650,(ab|c)*de|fg*hi
651,a*b(c|d)*|efghi
652,ab|cd(e)*|fg*h
653,(a|b|c)*(de|fg)
654,abc(d|e)f|ghi*
655,a(b|c*)(d|efg)*
656,(ab*c)*|d*|efg
657,a*bc|de*|fgh*i
658,ab|(c|d|e)*|f*gh
659,(a|b)c*d|efgh*i*
660,abc*de|fgh*
661,a(b*c|d|efg)*
662,(ab|cd)*(ef)*|gh
663,a*b|c(de)*|f*gh
664,ab*cd*|efghi
665,(a|b|c)*d|efg*h*
666,abc(de|fg)*|hij
667,a(b|c)d|efgh*i*
668,(ab)*(cd)*|e*fgh
669,a*bc*|de*|fg*h
670,ab|c*d(efg)*
671,(a|b|c|de)*|fgh
672,abc*|de|efgh*i
673,a(b*|c*)d|e*fgh
674,(ab|c|def)*g
675,a*b(c*|de|f)*
676,ab(cd|efg)*|hi
677,(abc|d)*|efgh*i*
678,a(b|c*d)e|fg*h*
679,(ab*|cd)*|e*f*gh
680,a*bc|d*|efghi*
681,ab|(cd|efg)*
682,(a|b)c*de|fg*h*
683,abc(d*|ef|g)*
684,a(b|c)*(d|e)*|fgh
685,(ab)*(c|d|e)*|f*g
686,a*b*cd|efgh*i*
687,ab(c|d)*|efg*h*i
688,(abc|de)*|fgh*i
689,a(bc|d)e|fgh*i*
690,ab*|c(de)*|fg*h
691,(a|b)*c|d*|e*fgh
692,abc*d(e|f)*|ghi
693,a(b*|c)(d|e)*|fgh
694,(ab|cd)*|efgh*i*
695,a*bc*|de|fgh*i
696,ab|c*d|efghi*
697,(a|b|c)*de|fg*h*
698,abc(d|e)*|fg*hi
699,a(b|c*)(de|fg)*
700,(ab*c|d)*|e*fgh
701,a*b(cd|ef)*|gh
702,ab|(c|d)*|efgh*i*
703,(a|b)cd*|efghi*
704,abc*de*|fg*h*i
705,a(bc|de|f)*|gh
706,(a|bc|d)*|efgh*i
707,ab*c|de*|fg*h*
708,a|b(c*d|efgh)*
709,(abc)*(de)*|fg
710,a(b|c)d*|efghi*
711,ab(cd|e)*|fgh*i*
712,(a*b|c*d|efg)*
713,abc|d*e|fgh*i*
714,a(b*c)*|de|fgh*
715,(ab|c)*d|efg*hi*
716,a*b|cd*|efghi*
717,ab(c|de)*|fgh*i
718,(a|b)(c|d)*|e*fgh
719,abc(de|fg)*|h*ij
720,a(b|c*)d*|efghi*
721,(ab)*(cd|efgh)
722,a*bc|d(efg)*
723,ab|c*de|fg*h*i*
724,(a|b|c)d*|efghi*
725,abc*|(de)*|fg*h
726,a(b*|c*)(d|e|fg)
727,(ab|cd|e)*|f*gh
728,a*b*c|de*|fgh*i
729,ab(c|d)*|efgh*ij
730,(abc|d)*(ef)*|gh
731,a(b|c)*(de|f)*g
732,ab*cd|efg*h*i*
733,(a|b)*c*|de|fg*h
734,abc(d|efg)*|hij
735,a(b*c|de)*|fgh*
736,(ab|c|d)*|efg*hi*
737,a*b(c|d|e)*|f*gh
738,ab|cd*|e(fg)*|hi
739,(a|bc)*(de)*|fgh
740,abc*d|efgh*i*j
741,a(b|c*d)*|efghi*
742,(ab*|cd|efg)*
743,a*bc*de|fgh*i*
744,ab|(cd|e)*|fg*hi
745,(a|b)cd*|efgh*ij
746,abc(de)*|fg*h*i*
747,a(b|c)(d|e)*|fgh
748,(ab)*(c|def)*
749,a*b*|cd|efg*h*i*
750,ab(c*|d|e)*|fgh
751,(abc|de)*|fg*hij
752,a(bc|d)*|efgh*i*
753,ab*|c(d)*|efghi*
754,(a|b)*cd*|efg*hi
755,abc*|de|fgh*i*j
756,a(b*c)*d|efghi*
757,(ab|c)*de|fgh*i*
758,a*b(c|d)*|efg*hij
759,ab|cd(ef)*|gh*i*
760,(a|b|c)*(d|e)*|fg
761,abc(d|e)f|ghij*
762,a(b|c*)(d|efgh)*
763,(ab*c)*|de|fg*h
764,a*bc|def*|gh*i*
765,ab|(c|d|efg)*
766,(a|b)c*d|efghi*j
767,abc*de|fg*h*i*
768,a(b*c|d|e)*|f*gh
769,(ab|cd)*(efg)*
770,a*b|c(de)*|fgh*i
771,ab*cd*|efgh*i*j
772,(a|b|c)*d|efghi*
773,abc(de|f)*|g*hij
774,a(b|c)d|efgh*i*j*
775,(ab)*(cd|e)*|fgh
776,a*bc*|d*e|fgh*i*
777,ab|c*d(ef)*|g*hi
778,(a|b|c|de)*|fg*h
779,abc*|de(fg)*|hi
780,a(b*|c*)de|fgh*
781,(ab|c|d)*|e*f*ghi
782,a*b(c*|de)*|fgh
783,ab(cd|ef|g)*|hij
784,(abc|d)*e|fgh*i*
785,a(b|c*d)e|fghi*
786,(ab*|cd)*|efgh*i
787,a*bc|d*|efg*h*i*
788,ab|(cd|efg)*|hi
789,(a|b)c*de|fgh*i*
790,abc(d*|ef)*|ghij
791,a(b|c)*(de|fg)*
792,(ab)*(c|d|efg)*
793,a*b*cd|efghi*j
794,ab(c|d)*|efg*h*ij
795,(abc|de|f)*|ghij
796,a(bc|d)e|fgh*i*j*
797,ab*|c(de|f)*|ghi
798,(a|b)*c|d*|efghi*
799,abc*d(ef|g)*|hij
800,a(b*|c)(de)*|fgh
801,(ab|cd)*e|fgh*i*j
802,a*bc*|de|fg*h*i*
803,ab|c*d|efghij*
804,(a|b|c)*de|fgh*i*
805,abc(d|e)*fg|h*ij
806,a(b|c*)(d)*|efghi*
807,(ab*c|de)*|fg*h
808,a*b(cd)*|efgh*i*
809,ab|(c|de)*|fgh*ij
810,(a|b)cd*|efg*h*i*
811,abc*de*|fghij*
812,a(bc|de)*|fgh*i*
813,(a|bc|def)*g
814,ab*c|d*|efg*hij*
815,a|b(c*d|e)*|f*gh
816,(abc)*(de|f)*|gh
817,a(b|c)d*|efgh*ij*
818,ab(cd|efg)*|hi
819,(a*b|c*d)*|e*fgh
820,abc|d*e|fghij*
821,a(b*c)*|de|fg*h*
822,(ab|c)*d|efgh*i*j
823,a*b|cd*|efg*h*i*
824,ab(c|de)*|fgh*ij
825,(a|b)(c|d|e)*|f*gh
826,abc(de|fg)*|hij*
827,a(b|c*)d*|efghi*j
828,(ab)*(cd|efg)*
829,a*bc|d(ef)*|gh*i
830,ab|c*de|fghij*
831,(a|b|c)d*|efgh*i*
832,abc*|(de|f)*|ghi
833,a(b*|c*)(d|efg)*
834,(ab|cd|e)*|fgh*i
835,a*b*c|de|fgh*i*j
836,ab(c|d)*|efg*hij*
837,(abc|d)*(ef|gh)*
838,a(b|c)*(d|e)*|fghi
839,ab*cd|efgh*i*j*
840,(a|b)*c*|de|fgh*i
841,abc(d|e)*|fghijk
842,a(b*c|de)*|fg*h*i
843,(ab|c|d)*|efghij*
844,a*b(c|def)*|gh
845,ab|cd*|e(f)*|g*hi
846,(a|bc)*(d|e)*|fgh
847,abc*d|efg*h*i*j
848,a(b|c*d)*|efgh*i*
849,(ab*|cd)*|efg*hij
850,a*bc*de|fghij*
851,ab|(cd)*|efgh*i*j
852,(a|b)cd*|efghi*j*
853,abc(de)*|fgh*ijk
854,a(b|c)(d|efg)*|hi
855,(ab)*(c|de)*|fg*h
856,a*b*|cd*|efgh*i*j
857,ab(c*|de)*|fgh*i
858,(abc|def)*|ghij*
859,a(bc|d)*|efghi*j*
860,ab*|c(d|efg)*
861,(a|b)*cd|efgh*i*j
862,abc*|de|fgh*ijk*
863,a(b*c)*d|efg*hij*
864,(ab|c)*de|fghij*
865,a*b(c|d)*|efgh*i*j
866,ab|cd(e)*|fgh*ijk
867,(a|b|c)*(de)*|fg*h
868,abc(d|e)f|ghij*k
869,a(b|c*)(d|e)*|f*ghi
870,(ab*c)*|d*|efgh*i
871,a*bc|de*|fghij*
872,ab|(c|d|e)*|fgh*i*
873,(a|b)c*d|efgh*ijk
874,abc*de|fgh*i*j*
875,a(b*c|d|efg)*|hi
876,(ab|cd)*(ef)*|gh*i
877,a*b|c(de)*|fghij*
878,ab*cd*|efg*h*i*j
879,(a|b|c)*d|efgh*ijk
880,abc(de|fg)*|h*ijk
881,a(b|c)d|efghi*j*k
882,(ab)*(cd)*|efgh*i*
883,a*bc*|de*|fgh*ij*
884,ab|c*d(efg)*|hij
885,(a|b|c|de)*|fgh*i
886,abc*|de|efgh*i*j*
887,a(b*|c*)d|efgh*i*
888,(ab|c|def)*|ghi
889,a*b(c*|de|fg)*
890,ab(cd|ef)*|ghijk*
891,(abc|d)*|efghi*j*k
892,a(b|c*d)e|fgh*ijk
893,(ab*|cd)*|efg*h*i*
894,a*bc|d*|efghij*k
895,ab|(cd|e)*|fgh*i*j
896,(a|b)c*de|fghijk*
897,abc(d*|ef|gh)*
898,a(b|c)*(d|efg)*|hi
899,(ab)*(c|d|e)*|fgh*i
900,a*b*cd|efg*h*i*j*
901,ab(c|d)*|efghijk*
902,(abc|de)*|fgh*i*j*
903,a(bc|d)e|fghijk*
904,ab*|c(de)*|fg*h*i*
905,(a|b)*c|d*|efgh*i*j
906,abc*d(e|fg)*|hijk
907,a(b*|c)(d|efg)*
908,(ab|cd)*|efghi*j*k
909,a*bc*|de|fgh*ijk*
910,ab|c*d|efg*h*i*j*
911,(a|b|c)*de|fghijk*
912,abc(d|e)*|fgh*i*jk
913,a(b|c*)(de|f)*|ghi
914,(ab*c|d)*|efgh*i*j
915,a*b(cd|efg)*
916,ab|(c|d)*|efghi*j*k
917,(a|b)cd*|efgh*ijk*
918,abc*de*|fgh*i*j*k
919,a(bc|de|fgh)*
920,(a|bc|d)*|efghi*j*
921,ab*c|de*|fgh*ijk*
922,a|b(c*d|efg)*|hij
923,(abc)*(de)*|fg*h*i
924,a(b|c)d*|efghijk*
925,ab(cd|e)*|fgh*i*jk
926,(a*b|c*d|e)*|fghi
927,abc|d*e|fgh*i*j*k*
928,a(b*c)*|de|fghijk*
929,(ab|c)*d|efg*h*i*j*
930,a*b|cd*|efghijk*
931,ab(c|de)*|fgh*i*j*k
932,(a|b)(c|d)*|efgh*i*j
933,abc(de|f)*|ghijk*
934,a(b|c*)d*|efg*h*i*j*
935,(ab)*(cd|e)*|fghij
936,a*bc|d(efg)*|hij
937,ab|c*de|fgh*i*j*k*
938,(a|b|c)d*|efghijk*
939,abc*|(de)*|fgh*ijk
940,a(b*|c*)(d|e)*|f*gh
941,(ab|cd|efg)*|hij
942,a*b*c|de*|fgh*i*jk
943,ab(c|d)*|efg*h*i*jk
944,(abc|d)*(ef)*|ghijk
945,a(b|c)*(de|fgh)*
946,ab*cd|efg*h*i*j*k
947,(a|b)*c*|de|fgh*ijk
948,abc(d|efg)*|h*ijk
